,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
110,Mahamadou Diarra,Defensive Midfield,25,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,2006-2007,20000000.0,26000000
111,Joaquín,Right Winger,25,Real Betis,LaLiga,Valencia CF,LaLiga,2006-2007,22000000.0,25000000
112,Zlatan Ibrahimovic,Centre-Forward,24,Juventus,Serie B,Inter,Serie A,2006-2007,25000000.0,24800000
113,Sergio Agüero,Centre-Forward,18,Independiente,Torneo Final,Atlético Madrid,LaLiga,2006-2007,5000000.0,21700000
114,Fernando Gago,Defensive Midfield,20,Boca Juniors,Torneo Final,Real Madrid,LaLiga,2006-2007,12000000.0,20500000
115,John Mikel Obi,Defensive Midfield,19,FK Lyn,Eliteserien,Chelsea,Premier League,2006-2007,6000000.0,20000000
116,Dirk Kuyt,Right Winger,26,Feyenoord,Eredivisie,Liverpool,Premier League,2006-2007,17250000.0,18000000
117,Émerson,Defensive Midfield,30,Juventus,Serie B,Real Madrid,LaLiga,2006-2007,26000000.0,16000000
118,Obafemi Martins,Centre-Forward,21,Inter,Serie A,Newcastle,Premier League,2006-2007,12000000.0,16000000
119,Dimitar Berbatov,Centre-Forward,25,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2006-2007,17000000.0,15700000
120,Damien Duff,Right Midfield,27,Chelsea,Premier League,Newcastle,Premier League,2006-2007,15000000.0,15500000
121,Ruud van Nistelrooy,Centre-Forward,30,Man Utd,Premier League,Real Madrid,LaLiga,2006-2007,32000000.0,15000000
122,Ricardo Oliveira,Centre-Forward,26,Real Betis,LaLiga,AC Milan,Serie A,2006-2007,6000000.0,15000000
123,Carlos Tévez,Second Striker,22,Corinthians,Série A,West Ham,Premier League,2006-2007,15000000.0,14600000
124,Javier Mascherano,Defensive Midfield,22,Corinthians,Série A,West Ham,Premier League,2006-2007,11800000.0,14600000
125,Anatoliy Tymoshchuk,Defensive Midfield,27,Shakhtar D.,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,6000000.0,14500000
126,Gianluca Zambrotta,Right-Back,29,Juventus,Serie B,FC Barcelona,LaLiga,2006-2007,26000000.0,14000000
127,Khalid Boulahrouz,Centre-Back,24,Hamburger SV,1.Bundesliga,Chelsea,Premier League,2006-2007,13000000.0,13200000
128,Ashley Young,Left Midfield,21,Watford,Premier League,Aston Villa,Premier League,2006-2007,6500000.0,13200000
129,David Pizarro,Central Midfield,26,Inter,Serie A,AS Roma,Serie A,2006-2007,8000000.0,13000000
130,Matthew Upson,Centre-Back,27,Birmingham,Championship,West Ham,Premier League,2006-2007,9000000.0,12600000
131,Didier Zokora,Defensive Midfield,25,Saint-Étienne,Ligue 1,Spurs,Premier League,2006-2007,12500000.0,12350000
132,Nicolas Anelka,Centre-Forward,27,Fenerbahce,Süper Lig,Bolton,Premier League,2006-2007,12000000.0,12000000
133,Eidur Gudjohnsen,Centre-Forward,27,Chelsea,Premier League,FC Barcelona,LaLiga,2006-2007,12000000.0,12000000
134,Gonzalo Higuaín,Centre-Forward,19,River Plate,Torneo Final,Real Madrid,LaLiga,2006-2007,12000000.0,12000000
135,Pablo Aimar,Attacking Midfield,26,Valencia CF,LaLiga,Real Zaragoza,LaLiga,2006-2007,18000000.0,11000000
136,Cani,Attacking Midfield,24,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2006-2007,11000000.0,11000000
137,Andy Johnson,Centre-Forward,25,Crystal Palace,Championship,Everton,Premier League,2006-2007,11000000.0,11000000
138,Vincent Kompany,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Hamburger SV,1.Bundesliga,2006-2007,13500000.0,10500000
139,Lukas Podolski,Centre-Forward,21,1. FC Köln,2.Bundesliga,Bayern Munich ,1.Bundesliga,2006-2007,12000000.0,10000000
